segment_id,segment_start,segment_end,event_index_in_segment,event_global_index,start_frame,end_frame,duration_frames,peak_amplitude,rise90_frame,fall90_frame
0,0,357,0,0,34,46,13,0.02907014138661198,39,43
0,0,357,1,1,62,74,13,0.031200133813510104,67,70
0,0,357,2,2,91,103,13,0.03188257542547071,96,100
0,0,357,3,3,121,135,15,0.024145954872211606,125,132
0,0,357,4,4,151,164,14,0.02484971681070453,154,162
0,0,357,5,5,179,193,15,0.02398394890163565,182,190
0,0,357,6,6,210,222,13,0.026379539540733923,216,220
0,0,357,7,7,240,254,15,0.027918509402346664,246,251
0,0,357,8,8,271,286,16,0.026374634069132978,277,282
0,0,357,9,9,306,320,15,0.028913753796353817,312,316
0,0,357,10,10,337,351,15,0.02941042711842333,343,347
