event_index,start_frame,end_frame,duration_frames,peak_amplitude,rise90_frame,fall90_frame
0,29,47,19,22.112455763061195,37,42
1,52,69,18,24.478084435092168,60,64
2,74,93,20,25.149415205235037,81,88
3,97,115,19,26.624966210256694,104,111
4,119,138,20,23.195454258760975,127,133
5,141,159,19,26.52951173993426,149,155
6,164,181,18,24.24346332347472,171,177
7,188,203,16,20.360366533823267,196,199
8,208,224,17,24.53870408220951,215,220
9,230,246,17,24.08252030550198,237,242
10,250,266,17,18.477941015788236,258,261
11,272,286,15,20.51243982249182,277,282
12,291,308,18,20.806317132499228,300,304
